product_id,product_category,demand,inventory,competitor_price,season,customer_rating,historical_price,optimal_price
P100001,Footwear,53,1367,140.72,Summer,3.4,160.09,92.02
P100002,Clothing,726,1105,99.86,Normal,2.8,114.58,75.76
P100003,Home Decor,229,625,150.77,Normal,3.3,166.6,115.54
P100004,Footwear,717,125,114.37,Summer,4.5,114.35,117.4
P100005,Electronics,573,233,721.07,Summer,3.7,741.12,678.74
P100006,Home Decor,218,367,190.52,Winter,2.9,193.55,156.2
P100007,Footwear,480,612,131.3,Normal,3.3,121.06,96.0
P100008,Footwear,55,1329,151.82,Festival,4.9,168.62,106.43
P100009,Electronics,707,183,753.24,Normal,3.6,800.29,754.22
P100010,Clothing,317,867,72.12,Winter,3.6,75.89,57.66
P100011,Clothing,395,524,83.18,Summer,2.9,78.15,66.5
P100012,Home Decor,173,74,252.72,Festival,3.3,232.84,203.38
P100013,Grocery,377,930,25.13,Summer,4.5,28.04,20.5
P100014,Footwear,407,1057,124.4,Normal,4.5,115.49,97.42
P100015,Clothing,240,1439,68.33,Summer,3.6,61.49,45.2
P100016,Clothing,979,762,77.71,Winter,4.7,81.51,70.17
P100017,Grocery,294,491,30.07,Festival,3.5,32.18,24.1
P100018,Electronics,197,1282,760.52,Festival,4.7,693.82,521.76
P100019,Footwear,557,374,159.63,Festival,2.6,149.39,128.08
P100020,Grocery,332,1025,28.7,Winter,3.4,31.37,21.18
P100021,Footwear,464,1415,143.82,Normal,4.6,162.66,116.32
P100022,Clothing,730,11,95.0,Normal,4.8,95.83,103.09
P100023,Home Decor,96,1388,166.27,Normal,4.4,181.87,116.99
P100024,Home Decor,518,312,175.78,Festival,4.2,169.84,157.86
P100025,Footwear,41,724,168.14,Festival,4.5,179.89,116.86
P100026,Electronics,63,390,737.49,Festival,4.3,759.94,620.86
P100027,Grocery,110,221,25.69,Winter,3.1,28.45,20.61
P100028,Electronics,178,1054,611.91,Winter,3.7,666.67,440.46
P100029,Electronics,362,725,857.5,Festival,4.2,820.39,585.24
P100030,Footwear,936,766,116.24,Summer,4.0,106.98,90.28
P100031,Footwear,908,727,110.75,Summer,4.7,121.61,102.1
P100032,Home Decor,121,1122,186.56,Normal,3.7,165.83,122.08
P100033,Clothing,991,1449,94.16,Summer,2.9,100.12,70.84
P100034,Clothing,642,771,88.35,Festival,3.0,89.1,65.69
P100035,Grocery,562,237,33.35,Festival,4.6,30.03,31.02
P100036,Electronics,796,494,681.99,Summer,2.5,726.94,561.07
P100037,Electronics,494,746,645.85,Normal,4.7,652.56,516.05
P100038,Grocery,280,159,25.1,Summer,2.6,27.91,23.81
P100039,Clothing,539,347,70.61,Normal,3.5,66.11,62.97
P100040,Footwear,730,307,115.56,Normal,4.5,101.77,114.31
P100041,Clothing,689,1459,101.6,Winter,3.5,92.98,72.45
